"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","137.90","140.00","140.00","136.60","266.64K","-0.61%"
"12/27/2024","138.75","139.80","139.95","137.15","254.07K","-0.64%"
"12/23/2024","139.65","139.20","141.10","138.95","346.51K","0.68%"
"12/20/2024","138.70","141.00","141.00","137.15","1.78M","-1.87%"
"12/19/2024","141.35","139.80","142.10","138.80","616.51K","-0.63%"
"12/18/2024","142.25","139.00","142.80","138.30","866.01K","2.08%"
"12/17/2024","139.35","145.00","145.05","139.35","699.37K","-3.90%"
"12/16/2024","145.00","146.00","146.80","143.90","609.60K","-0.21%"
"12/13/2024","145.30","146.00","147.95","145.10","444.86K","-0.62%"
"12/12/2024","146.20","144.95","146.55","144.60","411.76K","0.41%"
"12/11/2024","145.60","145.80","146.15","144.45","446.84K","-0.99%"
"12/10/2024","147.05","145.70","147.45","144.50","447.14K","0.07%"
"12/09/2024","146.95","149.00","149.30","146.40","464.92K","-1.18%"
"12/06/2024","148.70","148.75","150.20","147.95","571.61K","0.24%"
"12/05/2024","148.35","147.05","149.25","146.40","742.13K","1.71%"
"12/04/2024","145.85","144.25","147.60","143.00","542.46K","1.78%"
"12/03/2024","143.30","142.90","144.25","141.05","1.02M","0.28%"
"12/02/2024","142.90","137.00","142.95","136.35","1.41M","5.34%"
"11/29/2024","135.65","141.00","141.00","133.80","2.51M","-3.49%"
"11/28/2024","140.55","140.05","142.00","139.60","561.29K","1.08%"
"11/27/2024","139.05","140.00","140.15","136.95","459.87K","-0.61%"
"11/26/2024","139.90","140.55","141.30","138.50","451.23K","-0.60%"
"11/25/2024","140.75","141.00","141.65","139.60","1.04M","1.00%"
"11/22/2024","139.35","139.75","140.65","136.25","590.60K","0.14%"
"11/21/2024","139.15","137.20","139.55","135.40","506.30K","1.68%"
"11/20/2024","136.85","137.00","138.50","135.60","647.89K","0.51%"
"11/19/2024","136.15","139.45","140.65","131.15","1.84M","-2.40%"
"11/18/2024","139.50","142.00","144.10","138.15","889.51K","-2.62%"
"11/15/2024","143.25","148.20","148.25","143.25","950.89K","-2.95%"
"11/14/2024","147.60","151.10","152.05","145.45","3.22M","-2.12%"
"11/13/2024","150.80","154.00","154.00","150.00","676.02K","-1.82%"
"11/12/2024","153.60","155.10","157.70","153.20","871.06K","-0.97%"
"11/08/2024","155.10","156.50","156.80","152.80","1.12M","-0.32%"
"11/07/2024","155.60","148.00","155.60","146.20","3.87M","7.94%"
"11/06/2024","144.15","144.00","147.45","143.25","958.68K","0.45%"
"11/05/2024","143.50","143.10","143.85","141.90","534.18K","-0.62%"
"11/04/2024","144.40","141.85","144.40","141.40","832.27K","3.00%"
"10/31/2024","140.20","142.00","142.50","140.20","1.03M","-2.30%"
"10/30/2024","143.50","147.00","147.10","143.25","452.74K","-3.17%"
"10/29/2024","148.20","143.45","148.20","143.45","941.75K","3.31%"
"10/28/2024","143.45","146.00","146.75","142.60","443.20K","-0.93%"
"10/25/2024","144.80","145.55","145.65","142.35","829.97K","-0.45%"
"10/24/2024","145.45","146.50","146.95","143.90","558.98K","-0.61%"
"10/23/2024","146.35","144.70","146.75","143.25","675.58K","1.88%"
"10/22/2024","143.65","146.30","146.60","142.65","1.05M","-1.24%"
"10/21/2024","145.45","149.50","149.50","144.95","563.78K","-2.58%"
"10/18/2024","149.30","146.20","150.95","146.20","363.21K","2.26%"
"10/17/2024","146.00","151.25","151.95","146.00","586.98K","-3.41%"
"10/16/2024","151.15","150.70","151.90","148.20","371.14K","0.30%"
"10/15/2024","150.70","152.00","152.50","150.15","466.99K","-0.46%"
"10/14/2024","151.40","150.95","152.20","149.95","345.86K","0.26%"
"10/11/2024","151.00","147.70","152.90","147.55","691.79K","1.99%"
"10/10/2024","148.05","149.50","150.70","147.65","597.93K","-0.97%"
"10/09/2024","149.50","144.05","149.90","142.35","785.41K","4.07%"
"10/08/2024","143.65","140.20","145.00","139.50","478.01K","1.38%"
"10/07/2024","141.70","143.60","144.00","140.15","352.78K","-0.28%"
"10/04/2024","142.10","141.50","143.00","139.95","752.16K","0.96%"
"10/03/2024","140.75","141.80","143.05","139.55","926.03K","-1.88%"
"10/02/2024","143.45","145.45","146.40","142.60","410.78K","-1.31%"
"10/01/2024","145.35","148.90","148.90","143.65","584.91K","-1.06%"
"09/30/2024","146.90","152.00","152.00","146.90","438.76K","-3.70%"
"09/27/2024","152.55","151.65","152.80","150.00","363.24K","0.20%"
"09/26/2024","152.25","152.00","154.35","151.00","774.24K","1.23%"
"09/25/2024","150.40","152.00","152.00","148.45","361.64K","-0.69%"
"09/24/2024","151.45","150.20","153.05","149.55","881.89K","1.99%"
"09/23/2024","148.50","148.90","149.65","147.00","584.58K","-0.34%"
"09/20/2024","149.00","154.00","154.00","148.00","1.81M","-3.09%"
"09/19/2024","153.75","151.90","154.35","148.65","1.16M","2.23%"
"09/18/2024","150.40","149.75","152.15","149.45","1.13M","0.43%"
"09/17/2024","149.75","148.65","151.50","148.40","987.18K","0.60%"
"09/16/2024","148.85","150.70","151.80","147.80","678.54K","-2.04%"
"09/13/2024","151.95","148.15","152.60","148.15","609.77K","2.63%"
"09/12/2024","148.05","149.20","151.00","146.90","602.83K","0.71%"
"09/11/2024","147.00","148.05","149.40","145.70","564.52K","-1.54%"
"09/10/2024","149.30","154.40","154.85","148.55","1.28M","-2.89%"
"09/09/2024","153.75","151.15","154.80","150.70","382.00K","1.69%"
"09/06/2024","151.20","155.45","155.45","150.20","453.37K","-2.89%"
"09/05/2024","155.70","156.80","159.50","155.05","344.17K","-0.99%"
"09/04/2024","157.25","155.15","157.55","155.00","379.20K","-0.66%"
"09/03/2024","158.30","162.85","162.90","157.30","467.32K","-2.40%"
"09/02/2024","162.20","158.30","162.95","156.70","387.14K","2.37%"
"08/30/2024","158.45","157.85","159.60","156.85","766.57K","0.38%"
"08/29/2024","157.85","156.90","158.65","156.25","484.21K","0.86%"
"08/28/2024","156.50","156.45","156.80","154.00","335.96K","0.03%"
"08/27/2024","156.45","157.50","157.80","153.20","493.00K","-0.64%"
"08/26/2024","157.45","159.05","159.85","156.35","411.83K","-1.50%"
"08/23/2024","159.85","158.25","161.50","158.10","406.07K","1.01%"
"08/22/2024","158.25","159.40","160.50","157.55","279.00K","-0.13%"
"08/21/2024","158.45","158.00","159.50","157.40","440.98K","0.25%"
"08/20/2024","158.05","161.75","161.80","157.30","465.82K","-1.28%"
"08/19/2024","160.10","160.00","161.80","159.40","287.86K","-0.25%"
"08/16/2024","160.50","157.35","160.70","156.05","637.25K","4.49%"
"08/14/2024","153.60","151.70","154.65","151.70","589.88K","1.99%"
"08/13/2024","150.60","151.85","153.75","150.55","732.92K","0.03%"
"08/12/2024","150.55","146.05","150.80","145.50","631.99K","3.83%"
"08/09/2024","145.00","144.00","147.65","143.80","574.79K","0.87%"
"08/08/2024","143.75","141.15","144.05","137.25","1.62M","-0.52%"
"08/07/2024","144.50","144.00","146.75","141.95","836.10K","1.76%"
"08/06/2024","142.00","147.40","147.65","140.10","833.08K","-2.61%"
"08/05/2024","145.80","145.05","146.90","142.40","923.02K","-3.76%"
"08/02/2024","151.50","155.35","155.45","149.85","1.12M","-2.88%"
"08/01/2024","156.00","160.40","161.35","156.00","590.29K","-2.74%"
"07/31/2024","160.40","160.60","162.50","160.00","673.49K","0.19%"
"07/30/2024","160.10","162.50","163.80","160.10","380.66K","-1.78%"
"07/29/2024","163.00","161.00","163.50","160.00","312.03K","1.46%"
"07/26/2024","160.65","160.90","163.20","159.00","349.12K","-0.16%"
"07/25/2024","160.90","158.15","161.70","157.55","475.29K","-0.83%"
"07/24/2024","162.25","162.85","164.70","161.10","340.78K","-0.52%"
"07/23/2024","163.10","166.45","166.65","161.70","327.88K","-2.04%"
"07/22/2024","166.50","163.60","167.00","163.60","17.93K","1.77%"
"07/19/2024","163.60","163.10","164.70","161.15","747.09K","-0.40%"
"07/18/2024","164.25","162.05","165.40","160.15","525.32K","1.39%"
"07/17/2024","162.00","165.50","166.90","160.05","709.03K","-2.00%"
"07/16/2024","165.30","170.95","171.60","165.15","571.45K","-3.84%"
"07/15/2024","171.90","170.20","171.90","169.45","380.72K","1.00%"
"07/12/2024","170.20","169.20","170.90","168.25","596.61K","0.15%"
