"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","7.37","7.51","7.51","7.34","780.04K","-1.07%"
"12/27/2024","7.45","7.30","7.47","7.24","831.13K","2.17%"
"12/23/2024","7.29","7.44","7.50","7.28","798.84K","-1.86%"
"12/20/2024","7.43","7.44","7.45","7.33","3.98M","-0.19%"
"12/19/2024","7.44","7.42","7.50","7.34","1.60M","0.57%"
"12/18/2024","7.40","7.40","7.43","7.31","1.78M","-0.19%"
"12/17/2024","7.41","7.50","7.56","7.40","1.84M","-1.93%"
"12/16/2024","7.56","7.60","7.63","7.51","1.21M","-0.55%"
"12/13/2024","7.60","7.56","7.64","7.54","1.18M","-0.18%"
"12/12/2024","7.61","7.58","7.65","7.52","870.63K","1.52%"
"12/11/2024","7.50","7.60","7.60","7.49","679.82K","-0.85%"
"12/10/2024","7.56","7.69","7.77","7.48","1.25M","-1.69%"
"12/09/2024","7.69","7.79","7.79","7.67","1.03M","-1.28%"
"12/06/2024","7.79","7.66","7.87","7.66","809.80K","1.80%"
"12/05/2024","7.66","7.72","7.75","7.62","1.20M","-0.88%"
"12/04/2024","7.72","7.68","7.75","7.62","977.79K","1.31%"
"12/03/2024","7.62","7.72","7.80","7.58","1.05M","-1.29%"
"12/02/2024","7.72","7.72","7.80","7.67","732.76K","0.44%"
"11/29/2024","7.69","7.61","7.69","7.58","536.44K","0.95%"
"11/28/2024","7.62","7.70","7.72","7.58","231.67K","-0.73%"
"11/27/2024","7.67","7.68","7.73","7.59","560.10K","0.00%"
"11/26/2024","7.68","7.75","7.81","7.62","842.79K","-1.01%"
"11/25/2024","7.76","7.75","7.88","7.74","1.53M","0.47%"
"11/22/2024","7.72","7.64","7.73","7.54","489.94K","1.85%"
"11/21/2024","7.58","7.45","7.64","7.45","1.68M","-0.37%"
"11/20/2024","7.61","7.61","7.69","7.55","970.68K","0.11%"
"11/19/2024","7.60","7.69","7.72","7.49","820.99K","-1.20%"
"11/18/2024","7.69","7.57","7.70","7.56","831.25K","1.08%"
"11/15/2024","7.61","7.76","7.76","7.59","921.09K","-1.86%"
"11/14/2024","7.75","7.57","7.76","7.57","821.96K","1.97%"
"11/13/2024","7.60","7.76","7.76","7.53","1.45M","-1.04%"
"11/12/2024","7.68","7.81","7.81","7.61","1.23M","-1.18%"
"11/08/2024","7.78","7.77","7.83","7.62","1.69M","1.09%"
"11/07/2024","7.69","7.72","7.74","7.57","3.02M","1.16%"
"11/06/2024","7.60","7.96","7.96","7.55","2.98M","-3.50%"
"11/05/2024","7.88","8.03","8.04","7.88","2.14M","-1.40%"
"11/04/2024","7.99","7.80","8.04","7.70","1.75M","2.88%"
"10/31/2024","7.77","7.75","7.77","7.62","2.16M","-0.51%"
"10/30/2024","7.81","8.00","8.00","7.78","651.98K","-1.93%"
"10/29/2024","7.96","7.99","8.00","7.88","650.02K","-0.40%"
"10/28/2024","7.99","7.94","8.04","7.94","461.85K","0.76%"
"10/25/2024","7.93","8.00","8.04","7.93","559.91K","-0.95%"
"10/24/2024","8.01","8.12","8.17","8.01","573.09K","-1.38%"
"10/23/2024","8.12","8.18","8.25","8.04","881.86K","-1.79%"
"10/22/2024","8.27","8.33","8.39","8.14","864.03K","-1.19%"
"10/21/2024","8.37","8.36","8.47","8.33","632.04K","-0.50%"
"10/18/2024","8.41","8.42","8.47","8.37","824.08K","-0.07%"
"10/17/2024","8.42","8.65","8.67","8.37","953.11K","-2.37%"
"10/16/2024","8.62","8.38","8.64","8.31","3.55M","3.28%"
