"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","59.76","60.00","60.10","59.36","1.34M","-0.07%"
"12/27/2024","59.80","59.12","60.02","59.06","1.20M","-0.07%"
"12/23/2024","59.84","59.94","60.44","59.84","1.58M","0.34%"
"12/20/2024","59.64","60.48","60.48","59.28","3.70M","-1.39%"
"12/19/2024","60.48","59.16","60.60","59.00","2.98M","0.30%"
"12/18/2024","60.30","59.54","60.60","59.40","2.01M","1.38%"
"12/17/2024","59.48","60.52","60.92","59.32","4.20M","-2.17%"
"12/16/2024","60.80","61.16","61.56","60.32","1.97M","-0.52%"
"12/13/2024","61.12","61.22","61.78","61.08","3.07M","-0.36%"
"12/12/2024","61.34","60.70","61.58","60.70","2.79M","0.99%"
"12/11/2024","60.74","60.96","61.56","60.70","2.28M","-0.98%"
"12/10/2024","61.34","60.96","61.66","60.60","2.95M","0.10%"
"12/09/2024","61.28","60.76","61.86","60.56","2.77M","0.49%"
"12/06/2024","60.98","60.50","61.08","60.18","2.48M","0.96%"
"12/05/2024","60.40","59.10","60.40","59.08","2.98M","2.20%"
"12/04/2024","59.10","57.60","59.68","57.60","2.83M","2.25%"
"12/03/2024","57.80","58.00","58.40","57.34","2.19M","-0.07%"
"12/02/2024","57.84","56.08","57.90","55.82","3.55M","3.47%"
"11/29/2024","55.90","55.50","56.04","55.24","6.23M","0.83%"
"11/28/2024","55.44","54.40","56.02","54.40","5.43M","1.91%"
"11/27/2024","54.40","54.08","54.64","53.66","2.40M","0.22%"
"11/26/2024","54.28","54.12","54.92","53.82","2.04M","-0.18%"
"11/25/2024","54.38","54.78","55.08","53.92","2.89M","0.04%"
"11/22/2024","54.36","54.00","54.62","52.82","1.82M","0.26%"
"11/21/2024","54.22","54.30","54.68","53.00","2.25M","0.52%"
"11/20/2024","53.94","54.18","54.86","53.48","1.78M","0.07%"
"11/19/2024","53.90","55.90","56.18","52.32","6.24M","-3.58%"
"11/18/2024","55.90","56.38","57.30","55.24","2.44M","-0.85%"
"11/15/2024","56.38","59.04","59.04","56.30","2.98M","-4.63%"
"11/14/2024","59.12","57.52","59.34","57.32","7.62M","3.18%"
"11/13/2024","57.30","58.70","58.70","57.04","2.30M","-2.29%"
"11/12/2024","58.64","59.58","60.26","58.50","4.01M","-1.58%"
"11/08/2024","59.58","60.10","60.38","58.68","3.89M","-0.70%"
"11/07/2024","60.00","59.14","60.90","58.96","5.39M","1.45%"
"11/06/2024","59.14","58.38","60.12","58.32","3.85M","1.97%"
"11/05/2024","58.00","57.96","58.14","57.50","2.80M","0.07%"
"11/04/2024","57.96","56.20","58.30","56.06","3.23M","3.87%"
"10/31/2024","55.80","55.60","56.28","55.20","4.49M","-0.36%"
"10/30/2024","56.00","57.24","57.50","55.84","2.50M","-2.61%"
"10/29/2024","57.50","55.50","57.50","55.50","2.69M","3.72%"
"10/28/2024","55.44","56.30","56.64","55.10","1.41M","-0.89%"
"10/25/2024","55.94","56.20","56.32","55.50","1.32M","-0.43%"
"10/24/2024","56.18","56.14","57.20","55.54","2.17M","0.14%"
"10/23/2024","56.10","55.28","56.40","55.28","1.59M","1.04%"
"10/22/2024","55.52","56.48","56.48","55.20","2.37M","-1.25%"
"10/21/2024","56.22","57.80","57.80","56.22","1.98M","-2.60%"
"10/18/2024","57.72","57.08","58.44","57.08","953.94K","0.59%"
"10/17/2024","57.38","59.00","59.26","57.16","1.79M","-2.12%"
"10/16/2024","58.62","58.24","59.38","58.00","4.83M","0.65%"
"10/15/2024","58.24","58.30","58.72","57.94","1.70M","0.03%"
"10/14/2024","58.22","58.12","58.76","57.84","1.57M","0.10%"
"10/11/2024","58.16","57.22","58.46","57.00","1.85M","2.18%"
"10/10/2024","56.92","56.82","57.28","56.48","2.27M","0.18%"
"10/09/2024","56.82","54.56","57.06","54.56","2.07M","3.27%"
"10/08/2024","55.02","53.92","55.60","53.44","2.28M","1.63%"
"10/07/2024","54.14","54.50","54.66","53.30","1.54M","0.11%"
"10/04/2024","54.08","54.00","54.42","53.44","1.56M","0.30%"
"10/03/2024","53.92","54.00","54.64","53.70","1.91M","-1.61%"
"10/02/2024","54.80","54.88","55.58","54.40","1.09M","-0.11%"
"10/01/2024","54.86","56.16","56.34","54.46","2.29M","-2.00%"
"09/30/2024","55.98","58.08","58.18","55.98","2.70M","-3.91%"
"09/27/2024","58.26","57.50","58.56","57.50","1.04M","0.14%"
"09/26/2024","58.18","57.58","58.92","57.58","2.03M","1.61%"
"09/25/2024","57.26","56.94","57.72","56.56","1.35M","-0.17%"
"09/24/2024","57.36","56.30","57.94","56.14","2.85M","2.91%"
"09/23/2024","55.74","55.96","56.50","55.16","1.54M","0.00%"
"09/20/2024","55.74","57.04","57.12","55.02","7.34M","-2.21%"
"09/19/2024","57.00","57.00","57.10","55.80","2.62M","0.81%"
"09/18/2024","56.54","56.48","57.00","56.08","1.59M","0.35%"
"09/17/2024","56.34","56.60","56.84","55.68","2.42M","0.93%"
"09/16/2024","55.82","56.80","57.28","52.50","1.52M","-2.38%"
"09/13/2024","57.18","55.40","57.18","55.30","2.69M","3.66%"
"09/12/2024","55.16","55.32","55.50","54.64","2.32M","2.11%"
"09/11/2024","54.02","55.58","56.38","53.92","5.37M","-4.52%"
"09/10/2024","56.58","56.86","57.28","55.74","26.55K","-0.49%"
"09/09/2024","56.86","56.32","57.04","56.02","1.58M","0.99%"
"09/06/2024","56.30","57.48","57.88","56.30","2.90M","-2.86%"
"09/05/2024","57.96","58.30","58.94","57.48","1.47M","-0.55%"
"09/04/2024","58.28","57.22","58.32","57.04","1.24M","0.41%"
"09/03/2024","58.04","58.66","59.00","58.04","1.28M","-1.16%"
"09/02/2024","58.72","57.56","59.08","57.06","1.15M","1.45%"
"08/30/2024","57.88","58.00","58.06","57.14","2.80M","0.31%"
"08/29/2024","57.70","56.56","58.16","56.56","2.51M","2.02%"
"08/28/2024","56.56","56.50","56.80","55.80","1.31M","0.14%"
"08/27/2024","56.48","56.84","57.02","55.50","1.62M","-0.60%"
"08/26/2024","56.82","57.64","57.94","56.28","1.31M","-1.46%"
"08/23/2024","57.66","57.40","58.30","57.00","1.81M","1.91%"
"08/22/2024","56.58","57.50","57.74","56.46","2.83M","1.18%"
"08/21/2024","55.92","55.80","56.64","55.80","2.67M","-0.14%"
"08/20/2024","56.00","57.14","57.20","55.64","1.75M","-2.00%"
"08/19/2024","57.14","56.50","57.26","56.04","1.65M","0.74%"
"08/16/2024","56.72","55.00","57.00","55.00","2.71M","3.69%"
"08/14/2024","54.70","54.68","54.80","53.90","2.32M","1.82%"
"08/13/2024","53.72","54.34","55.10","53.48","2.99M","-0.59%"
"08/12/2024","54.04","52.30","54.04","51.58","2.10M","4.08%"
"08/09/2024","51.92","51.22","52.66","51.06","2.57M","2.37%"
