"Date","Price","Open","High","Low","Vol.","Change %"
"08/26/2024","514.20","514.20","516.00","508.60","22.04K","-0.35%"
"08/23/2024","516.00","519.00","522.00","511.20","22.15K","0.94%"
"08/19/2024","518.20","519.40","524.00","511.60","22.50K","-0.15%"
"11/28/2024","439.40","446.70","446.70","436.90","22.90K","0.37%"
"08/21/2024","510.40","509.60","514.20","507.80","25.32K","0.16%"
"09/09/2024","506.60","500.60","509.00","500.60","25.74K","0.68%"
"09/03/2024","520.40","535.00","535.00","520.00","25.80K","-2.55%"
"08/22/2024","511.20","508.40","515.20","508.00","26.53K","0.16%"
"07/22/2024","546.00","550.20","553.40","544.80","29.14K","-0.40%"
"07/05/2024","541.80","543.20","553.60","541.60","29.65K","-1.78%"
"07/08/2024","554.20","548.00","554.80","541.80","29.83K","2.29%"
"09/04/2024","519.00","512.40","521.00","510.80","30.31K","-0.27%"
"07/12/2024","562.60","555.20","564.20","554.20","30.77K","1.04%"
"11/26/2024","441.20","446.00","448.30","439.00","31.29K","-0.99%"
"07/11/2024","556.80","546.80","557.20","531.60","31.82K","0.51%"
"12/02/2024","450.60","431.70","452.30","431.70","31.91K","3.06%"
"09/05/2024","512.40","512.00","523.60","509.80","32.03K","-1.27%"
"07/04/2024","551.60","546.00","553.60","543.80","33.05K","0.88%"
"08/27/2024","510.80","519.80","519.80","506.60","33.82K","-0.66%"
"08/20/2024","509.60","522.60","522.60","506.20","34.17K","-1.66%"
"12/11/2024","468.40","477.80","478.00","468.40","34.68K","-1.95%"
"12/23/2024","463.00","462.30","472.40","462.20","34.96K","0.28%"
"08/12/2024","493.00","480.00","494.90","480.00","36.73K","2.18%"
"08/28/2024","512.80","510.80","516.00","508.20","36.99K","0.39%"
"09/02/2024","534.00","517.00","539.20","513.20","38.35K","2.77%"
"07/30/2024","521.60","532.80","539.00","520.80","38.62K","-1.58%"
"12/30/2024","457.60","461.00","464.30","454.70","39.93K","-0.76%"
"07/19/2024","548.20","537.80","551.20","537.80","41.47K","0.33%"
"07/10/2024","554.00","555.00","560.00","549.20","41.66K","-0.61%"
"12/13/2024","474.30","474.90","475.20","468.70","42.76K","0.44%"
"07/29/2024","530.00","528.60","533.40","522.80","42.94K","0.61%"
"10/24/2024","451.60","457.60","457.60","449.10","43.97K","-0.55%"
"06/20/2024","515.00","519.80","527.60","510.20","44.03K","-0.58%"
"06/27/2024","535.80","523.60","537.60","523.60","45.10K","1.48%"
"06/24/2024","527.60","512.40","529.60","508.80","45.17K","2.97%"
"07/23/2024","539.40","554.80","555.80","535.80","46.12K","-1.21%"
"09/06/2024","503.20","512.40","514.60","498.40","46.21K","-1.80%"
"10/14/2024","469.50","466.60","473.40","466.60","46.26K","0.71%"
"12/27/2024","461.10","469.90","469.90","455.30","46.96K","-0.41%"
"07/09/2024","557.40","554.20","557.60","549.60","47.62K","0.58%"
"09/10/2024","502.80","503.80","511.00","498.60","47.76K","-0.75%"
"06/13/2024","489.50","495.00","497.20","489.20","47.88K","-1.13%"
"07/03/2024","546.80","549.60","555.20","545.00","49.60K","-0.26%"
"06/25/2024","534.00","527.40","537.60","523.20","51.35K","1.21%"
"06/26/2024","528.00","534.00","537.80","528.00","51.67K","-1.12%"
"08/13/2024","495.60","494.00","502.60","492.70","52.75K","0.53%"
"11/15/2024","457.70","476.90","476.90","457.70","53.78K","-3.09%"
"07/26/2024","526.80","526.80","531.60","524.20","54.92K","-0.19%"
"06/18/2024","504.60","500.00","511.80","500.00","55.35K","1.08%"
"10/17/2024","459.00","481.00","481.00","458.20","55.66K","-4.08%"
"06/17/2024","499.20","494.70","501.80","493.20","55.89K","1.34%"
"12/16/2024","477.50","470.00","480.50","470.00","56.17K","0.67%"
"10/11/2024","466.20","464.60","468.30","463.70","56.81K","0.43%"
"08/16/2024","519.00","514.00","519.80","504.00","56.87K","4.74%"
"10/21/2024","458.40","468.90","468.90","455.40","56.89K","-1.16%"
"10/28/2024","448.80","446.10","454.10","446.10","57.00K","0.11%"
"08/01/2024","508.40","522.00","526.00","508.00","58.92K","-2.61%"
"06/19/2024","518.00","506.40","519.20","502.00","59.41K","2.66%"
"06/03/2024","510.00","504.40","514.60","504.40","59.41K","1.11%"
"07/24/2024","539.80","532.00","542.40","532.00","59.43K","0.07%"
"08/14/2024","495.50","494.00","505.00","494.00","59.54K","-0.02%"
"10/18/2024","463.80","460.20","471.80","460.20","60.65K","1.05%"
"06/05/2024","492.00","491.00","495.80","488.10","61.16K","0.41%"
"07/18/2024","546.40","534.20","546.60","534.20","61.93K","1.60%"
"06/10/2024","492.90","492.10","493.70","489.00","61.96K","0.12%"
"07/15/2024","568.80","559.60","568.80","557.60","62.28K","1.10%"
"06/12/2024","495.10","493.20","498.10","490.00","62.44K","1.10%"
"10/25/2024","448.30","456.50","456.50","446.10","62.75K","-0.73%"
"10/15/2024","470.00","472.50","472.50","466.60","62.89K","0.11%"
"07/16/2024","548.00","563.20","567.00","547.40","63.52K","-3.66%"
"11/29/2024","437.20","435.00","442.70","434.80","64.12K","-0.50%"
"10/03/2024","439.80","445.00","447.90","437.40","64.30K","-2.14%"
"07/25/2024","527.80","533.60","536.80","516.20","64.61K","-2.22%"
"07/17/2024","537.80","545.40","549.80","532.00","64.62K","-1.86%"
"12/04/2024","454.80","449.90","459.70","447.10","64.66K","2.32%"
"06/06/2024","499.30","495.20","499.80","490.00","65.62K","1.48%"
"11/14/2024","472.30","467.80","474.90","462.20","67.16K","1.72%"
"08/29/2024","518.80","511.40","522.80","511.20","67.51K","1.17%"
"10/02/2024","449.40","450.00","455.60","447.10","67.97K","-0.71%"
"11/20/2024","440.30","438.70","444.40","432.70","68.04K","0.36%"
"10/08/2024","450.10","444.30","454.90","441.60","68.36K","0.67%"
"07/02/2024","548.20","549.20","550.00","544.40","70.89K","-0.18%"
"12/12/2024","472.20","470.00","478.40","464.80","71.30K","0.81%"
"08/07/2024","474.80","475.00","478.50","471.10","71.41K","0.55%"
"06/28/2024","541.20","532.00","548.80","528.20","72.29K","1.01%"
"10/07/2024","447.10","448.10","449.80","441.10","76.00K","0.54%"
"12/09/2024","476.50","475.00","479.50","465.80","76.82K","0.32%"
"06/07/2024","492.30","500.60","500.60","489.90","77.20K","-1.40%"
"06/14/2024","492.60","489.60","494.70","489.60","77.88K","0.63%"
"11/13/2024","464.30","479.90","479.90","460.50","78.13K","-1.59%"
"09/25/2024","465.00","468.40","468.40","461.10","78.63K","-0.85%"
"12/03/2024","444.50","452.80","452.80","439.60","79.69K","-1.35%"
"11/08/2024","473.80","485.60","485.60","470.70","80.23K","-2.43%"
"11/18/2024","451.70","458.60","469.90","449.70","81.01K","-1.31%"
"12/06/2024","475.00","473.50","479.00","472.00","81.40K","0.32%"
"06/11/2024","489.70","494.00","496.50","489.60","82.04K","-0.65%"
"12/05/2024","473.50","460.00","474.10","455.10","84.40K","4.11%"
"08/09/2024","482.50","477.00","485.00","477.00","84.87K","1.26%"
"11/21/2024","440.50","438.60","445.50","431.20","85.36K","0.05%"
"11/05/2024","464.60","462.00","464.60","456.90","86.29K","0.78%"
"07/31/2024","522.00","522.20","527.40","518.80","88.79K","0.08%"
"06/04/2024","490.00","510.00","510.00","489.70","89.37K","-3.92%"
"12/19/2024","470.10","463.20","473.20","462.00","92.09K","0.23%"
"12/18/2024","469.00","463.00","470.60","452.10","92.21K","2.05%"
"12/10/2024","477.70","472.30","477.70","466.00","92.71K","0.25%"
"10/30/2024","459.80","482.00","482.20","459.30","93.51K","-4.37%"
"09/27/2024","467.00","463.20","467.00","459.60","95.79K","0.17%"
"08/08/2024","476.50","475.20","479.90","465.00","96.08K","0.36%"
"11/27/2024","437.80","436.10","447.10","433.50","96.58K","-0.77%"
"07/01/2024","549.20","542.60","555.60","542.20","96.66K","1.48%"
"10/22/2024","449.40","458.80","459.20","449.40","96.94K","-1.96%"
"11/07/2024","485.60","466.50","486.90","466.50","98.25K","3.72%"
"10/01/2024","452.60","454.30","461.00","448.00","98.50K","-0.37%"
"11/22/2024","443.00","449.20","449.20","429.70","99.78K","0.57%"
"09/23/2024","463.30","467.50","468.00","445.70","106.04K","-0.09%"
"10/04/2024","444.70","440.00","444.70","433.40","106.05K","1.11%"
"10/10/2024","464.20","468.90","471.00","462.50","108.36K","-0.56%"
"09/30/2024","454.30","461.40","466.90","454.30","113.09K","-2.72%"
"08/06/2024","472.20","499.70","500.00","469.60","114.56K","-2.82%"
"11/19/2024","438.70","451.60","456.70","423.80","116.13K","-2.88%"
"08/05/2024","485.90","472.00","488.00","472.00","117.19K","-3.21%"
"10/23/2024","454.10","442.30","456.20","440.00","118.34K","1.05%"
"08/30/2024","519.60","513.20","523.40","513.00","118.54K","0.15%"
"12/17/2024","459.60","477.60","480.40","459.40","119.13K","-3.75%"
"11/06/2024","468.20","464.60","476.50","464.60","123.86K","0.77%"
"11/12/2024","471.80","474.60","482.60","469.10","123.93K","-0.42%"
"10/31/2024","447.70","459.90","466.40","447.70","128.04K","-2.63%"
"08/02/2024","502.00","504.40","507.00","498.30","141.71K","-1.26%"
"10/09/2024","466.80","456.00","472.00","447.00","141.77K","3.71%"
"09/16/2024","463.00","464.70","465.80","460.20","142.43K","0.83%"
"09/26/2024","466.20","465.00","470.00","464.70","148.38K","0.26%"
"06/21/2024","512.40","516.00","522.20","508.00","163.15K","-0.50%"
"11/04/2024","461.00","448.10","462.70","447.80","174.57K","2.97%"
"09/24/2024","469.00","467.50","471.00","466.20","196.38K","1.23%"
"11/25/2024","445.60","449.80","451.60","441.00","218.72K","0.59%"
"10/16/2024","478.50","473.90","479.50","468.20","219.15K","1.81%"
"10/29/2024","480.80","451.10","484.00","451.10","227.65K","7.13%"
"09/17/2024","466.40","463.00","471.50","459.70","235.39K","0.73%"
"12/20/2024","461.70","468.00","468.30","454.90","238.25K","-1.79%"
"09/18/2024","466.00","466.40","469.00","462.60","242.58K","-0.09%"
"09/19/2024","473.90","473.30","473.90","467.50","257.41K","1.70%"
"09/20/2024","463.70","470.00","474.30","459.00","339.31K","-2.15%"
"09/12/2024","463.60","468.00","470.00","460.80","369.44K","0.83%"
"09/13/2024","459.20","467.00","470.00","459.20","903.31K","-0.95%"
"09/11/2024","459.80","465.00","467.40","455.20","1.08M","-8.55%"
