"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","547.20","549.00","555.60","544.00","14.57K","-0.33%"
"12/27/2024","549.00","555.20","556.00","544.20","16.77K","-0.83%"
"12/23/2024","553.60","547.40","558.00","546.00","23.86K","1.24%"
"12/20/2024","546.80","549.80","550.00","535.60","62.87K","-1.01%"
"12/19/2024","552.40","538.00","554.20","531.60","41.58K","1.92%"
"12/18/2024","542.00","534.00","545.20","531.00","21.23K","1.73%"
"12/17/2024","532.80","567.80","567.80","532.20","46.79K","-6.16%"
"12/16/2024","567.80","564.00","571.00","561.60","19.60K","0.67%"
"12/13/2024","564.00","569.80","570.00","557.80","16.34K","-0.42%"
"12/12/2024","566.40","554.20","568.00","553.40","14.26K","2.20%"
"12/11/2024","554.20","556.20","561.40","552.20","13.87K","-1.32%"
"12/10/2024","561.60","552.20","567.00","551.20","16.30K","0.07%"
"12/09/2024","561.20","568.00","569.20","553.20","19.21K","0.94%"
"12/06/2024","556.00","568.00","572.00","556.00","14.54K","-1.21%"
"12/05/2024","562.80","538.00","568.00","533.80","29.04K","4.84%"
"12/04/2024","536.80","541.80","549.60","533.60","17.31K","-0.59%"
"12/03/2024","540.00","548.80","548.80","530.20","27.53K","-0.92%"
"12/02/2024","545.00","529.00","545.00","529.00","16.54K","2.83%"
"11/29/2024","530.00","527.60","533.20","523.60","22.77K","0.00%"
"11/28/2024","530.00","533.00","536.00","527.40","5.93K","-0.60%"
"11/27/2024","533.20","542.80","545.60","528.00","12.81K","-1.77%"
"11/26/2024","542.80","545.20","554.00","537.20","7.75K","-1.20%"
"11/25/2024","549.40","567.80","567.80","549.40","66.12K","-1.96%"
"11/22/2024","560.40","545.40","565.80","530.20","28.72K","2.75%"
"11/21/2024","545.40","541.60","550.60","525.80","13.06K","1.72%"
"11/20/2024","536.20","542.60","547.80","530.20","19.94K","0.41%"
"11/19/2024","534.00","561.20","574.20","521.80","19.86K","-3.05%"
"11/18/2024","550.80","564.40","573.80","546.00","9.95K","-1.36%"
"11/15/2024","558.40","575.00","575.00","554.00","15.24K","-1.79%"
"11/14/2024","568.60","574.00","575.60","564.60","26.58K","1.32%"
"11/13/2024","561.20","579.00","580.20","556.40","13.37K","-3.07%"
"11/12/2024","579.00","585.00","593.80","573.00","16.59K","-0.86%"
"11/08/2024","584.00","599.20","599.20","578.00","13.81K","-2.28%"
"11/07/2024","597.60","570.60","605.20","570.60","17.32K","4.77%"
"11/06/2024","570.40","572.40","591.20","569.80","18.23K","-0.38%"
"11/05/2024","572.60","578.00","578.00","565.20","17.28K","-0.56%"
"11/04/2024","575.80","577.00","578.40","567.80","15.14K","2.49%"
"10/31/2024","561.80","561.20","576.00","546.60","37.57K","-0.92%"
"10/30/2024","567.00","596.20","596.20","567.00","18.28K","-4.93%"
"10/29/2024","596.40","582.20","598.80","573.20","15.04K","3.40%"
"10/28/2024","576.80","580.20","588.60","572.20","14.28K","-0.21%"
"10/25/2024","578.00","577.60","580.00","571.00","13.32K","0.03%"
"10/24/2024","577.80","595.40","595.40","574.80","16.24K","-2.07%"
"10/23/2024","590.00","596.00","596.00","580.20","12.16K","-0.30%"
"10/22/2024","591.80","596.60","606.80","585.60","16.08K","-1.37%"
"10/21/2024","600.00","614.60","615.00","600.00","10.27K","-2.31%"
"10/18/2024","614.20","600.20","617.00","600.00","10.90K","3.44%"
"10/17/2024","593.80","617.60","621.80","593.60","13.39K","-3.85%"
